transaction_id,timestamp,amount,merchant_category,channel,country,customer_age,customer_tenure_months,is_night,label_fraud
0,2024-01-01 00:00:00,141.16,electronics,web,US,30,38,1,1
1,2024-01-01 01:00:00,142.21,ecommerce,mobile,CA,70,403,1,0
2,2024-01-01 02:00:00,7.56,restaurant,pos,CA,40,383,1,0
3,2024-01-01 03:00:00,62.13,electronics,pos,CA,54,526,1,0
4,2024-01-01 04:00:00,30.64,grocery,mobile,CA,79,346,1,0
5,2024-01-01 05:00:00,32.56,restaurant,mobile,IN,30,409,1,1
6,2024-01-01 06:00:00,14.72,electronics,web,GB,47,215,0,0
7,2024-01-01 07:00:00,31.69,electronics,mobile,CA,29,233,0,0
8,2024-01-01 08:00:00,32.27,grocery,mobile,CA,47,247,0,0
9,2024-01-01 09:00:00,67.94,fuel,web,MX,38,582,0,0
10,2024-01-01 10:00:00,41.19,ecommerce,atm,CA,80,283,0,0
11,2024-01-01 11:00:00,14.98,restaurant,mobile,CA,38,518,0,0
12,2024-01-01 12:00:00,219.66,travel,mobile,MX,59,192,0,0
13,2024-01-01 13:00:00,73.15,electronics,web,CA,27,411,0,0
14,2024-01-01 14:00:00,60.32,fuel,pos,CA,49,164,0,0
15,2024-01-01 15:00:00,49.21,ecommerce,pos,CA,74,238,0,0
16,2024-01-01 16:00:00,10.01,fuel,mobile,CA,63,516,0,0
17,2024-01-01 17:00:00,117.65,grocery,mobile,MX,37,410,0,0
18,2024-01-01 18:00:00,299.26,electronics,pos,MX,84,292,0,0
19,2024-01-01 19:00:00,57.76,travel,web,IN,72,245,0,0
20,2024-01-01 20:00:00,140.32,electronics,pos,CA,45,480,0,0
21,2024-01-01 21:00:00,44.76,ecommerce,pos,MX,84,93,0,0
22,2024-01-01 22:00:00,47.66,restaurant,atm,IN,30,510,0,0
23,2024-01-01 23:00:00,12.41,restaurant,web,US,40,371,0,0
24,2024-01-02 00:00:00,215.39,electronics,pos,IN,81,197,1,1
25,2024-01-02 01:00:00,96.03,grocery,web,IN,83,419,1,1
26,2024-01-02 02:00:00,11.64,fuel,web,GB,73,595,1,0
27,2024-01-02 03:00:00,34.82,grocery,mobile,IN,31,209,1,0
28,2024-01-02 04:00:00,97.86,grocery,atm,US,32,236,1,0
29,2024-01-02 05:00:00,39.91,electronics,web,CA,62,558,1,0
30,2024-01-02 06:00:00,53.83,electronics,web,IN,21,206,0,0
31,2024-01-02 07:00:00,49.52,restaurant,web,FR,85,513,0,0
32,2024-01-02 08:00:00,51.97,ecommerce,web,CA,82,540,0,0
33,2024-01-02 09:00:00,14.55,ecommerce,pos,CA,72,350,0,0
34,2024-01-02 10:00:00,20.46,fuel,pos,CA,83,49,0,0
35,2024-01-02 11:00:00,157.74,grocery,mobile,FR,33,36,0,0
36,2024-01-02 12:00:00,209.72,grocery,web,CA,77,168,0,0
37,2024-01-02 13:00:00,15.39,fuel,web,CA,35,10,0,0
38,2024-01-02 14:00:00,26.4,ecommerce,pos,CA,26,458,0,0
39,2024-01-02 15:00:00,90.39,travel,mobile,CA,35,384,0,0
40,2024-01-02 16:00:00,304.0,ecommerce,pos,IN,70,273,0,0
41,2024-01-02 17:00:00,209.7,electronics,web,CA,82,489,0,0
42,2024-01-02 18:00:00,367.04,electronics,mobile,CA,59,80,0,0
43,2024-01-02 19:00:00,147.54,ecommerce,web,CA,34,300,0,0
44,2024-01-02 20:00:00,29.97,electronics,atm,GB,58,203,0,0
45,2024-01-02 21:00:00,41.84,electronics,pos,US,52,14,0,0
46,2024-01-02 22:00:00,32.1,ecommerce,mobile,CA,53,287,0,0
47,2024-01-02 23:00:00,37.54,ecommerce,atm,CA,41,87,0,0
48,2024-01-03 00:00:00,53.37,electronics,web,FR,27,27,1,0
49,2024-01-03 01:00:00,19.75,grocery,mobile,GB,42,126,1,0
50,2024-01-03 02:00:00,58.3,grocery,web,MX,78,117,1,0
51,2024-01-03 03:00:00,37.02,grocery,mobile,CA,45,377,1,0
52,2024-01-03 04:00:00,294.59,electronics,atm,IN,19,476,1,1
53,2024-01-03 05:00:00,171.22,travel,mobile,MX,41,292,1,1
54,2024-01-03 06:00:00,53.47,electronics,atm,CA,49,385,0,0
55,2024-01-03 07:00:00,116.44,electronics,web,IN,58,61,0,0
56,2024-01-03 08:00:00,7.01,fuel,web,FR,61,472,0,0
57,2024-01-03 09:00:00,5.0,fuel,pos,MX,46,301,0,0
58,2024-01-03 10:00:00,58.44,grocery,mobile,GB,27,257,0,0
59,2024-01-03 11:00:00,81.91,grocery,mobile,CA,47,522,0,0
60,2024-01-03 12:00:00,145.65,travel,mobile,CA,18,188,0,0
61,2024-01-03 13:00:00,19.2,fuel,pos,CA,52,263,0,0
62,2024-01-03 14:00:00,8.16,fuel,web,US,48,556,0,0
63,2024-01-03 15:00:00,280.91,electronics,mobile,CA,42,90,0,0
64,2024-01-03 16:00:00,212.63,travel,atm,CA,63,313,0,0
65,2024-01-03 17:00:00,35.48,fuel,pos,IN,69,347,0,0
66,2024-01-03 18:00:00,27.18,fuel,pos,CA,35,420,0,0
67,2024-01-03 19:00:00,39.36,ecommerce,web,GB,52,558,0,0
68,2024-01-03 20:00:00,12.03,grocery,pos,CA,52,206,0,0
69,2024-01-03 21:00:00,75.4,ecommerce,atm,CA,52,69,0,0
70,2024-01-03 22:00:00,20.18,grocery,web,CA,45,239,0,0
71,2024-01-03 23:00:00,41.01,ecommerce,web,CA,32,94,0,0
72,2024-01-04 00:00:00,128.11,restaurant,pos,CA,29,437,1,0
73,2024-01-04 01:00:00,57.51,ecommerce,web,CA,20,340,1,0
74,2024-01-04 02:00:00,5.0,grocery,atm,US,21,455,1,0
75,2024-01-04 03:00:00,37.09,ecommerce,web,CA,73,204,1,0
76,2024-01-04 04:00:00,24.39,ecommerce,pos,CA,22,573,1,0
77,2024-01-04 05:00:00,120.42,travel,pos,CA,76,538,1,0
78,2024-01-04 06:00:00,7.58,fuel,atm,CA,78,550,0,0
79,2024-01-04 07:00:00,145.19,electronics,atm,CA,34,428,0,0
80,2024-01-04 08:00:00,104.57,travel,pos,CA,48,112,0,0
81,2024-01-04 09:00:00,39.14,ecommerce,web,MX,42,88,0,0
82,2024-01-04 10:00:00,112.44,electronics,pos,MX,44,575,0,0
83,2024-01-04 11:00:00,30.58,grocery,web,FR,42,523,0,0
84,2024-01-04 12:00:00,29.02,grocery,pos,GB,41,529,0,0
85,2024-01-04 13:00:00,26.77,grocery,mobile,CA,64,386,0,0
86,2024-01-04 14:00:00,96.5,electronics,atm,CA,46,514,0,0
87,2024-01-04 15:00:00,37.18,fuel,pos,CA,30,296,0,0
88,2024-01-04 16:00:00,39.86,grocery,web,US,43,97,0,0
89,2024-01-04 17:00:00,75.27,fuel,pos,CA,84,154,0,0
90,2024-01-04 18:00:00,20.03,grocery,pos,CA,85,511,0,0
91,2024-01-04 19:00:00,121.77,electronics,pos,IN,22,390,0,0
92,2024-01-04 20:00:00,246.74,fuel,pos,CA,57,599,0,0
93,2024-01-04 21:00:00,57.88,ecommerce,atm,CA,84,539,0,0
94,2024-01-04 22:00:00,59.94,ecommerce,pos,IN,31,456,0,0
