transaction_id,timestamp,amount,merchant_category,channel,country,customer_age,customer_tenure_months,is_night,label_fraud
0,2024-01-01 00:00:00,164.7,ecommerce,web,CA,78,33,1,0
1,2024-01-01 01:00:00,107.56,electronics,web,FR,60,62,1,0
2,2024-01-01 02:00:00,178.29,restaurant,mobile,CA,28,202,1,0
3,2024-01-01 03:00:00,257.07,electronics,pos,CA,22,116,1,1
4,2024-01-01 04:00:00,98.93,travel,mobile,CA,75,212,1,0
5,2024-01-01 05:00:00,98.93,electronics,mobile,CA,56,160,1,0
6,2024-01-01 06:00:00,262.13,electronics,mobile,CA,65,221,0,0
7,2024-01-01 07:00:00,189.07,travel,pos,CA,37,129,0,0
8,2024-01-01 08:00:00,77.75,restaurant,pos,CA,36,91,0,0
9,2024-01-01 09:00:00,168.83,travel,pos,CA,77,148,0,0
10,2024-01-01 10:00:00,78.29,ecommerce,mobile,FR,43,55,0,0
11,2024-01-01 11:00:00,78.08,fuel,mobile,CA,42,191,0,0
12,2024-01-01 12:00:00,141.78,grocery,web,CA,32,78,0,0
13,2024-01-01 13:00:00,52.2,travel,mobile,US,38,207,0,0
14,2024-01-01 14:00:00,35.24,travel,web,CA,64,6,0,0
15,2024-01-01 15:00:00,69.39,electronics,pos,CA,52,52,0,0
16,2024-01-01 16:00:00,28.85,ecommerce,mobile,CA,61,2,0,0
17,2024-01-01 17:00:00,148.28,electronics,mobile,CA,23,221,0,0
18,2024-01-01 18:00:00,38.28,restaurant,pos,CA,40,39,0,0
19,2024-01-01 19:00:00,7.11,travel,pos,CA,56,121,0,0
20,2024-01-01 20:00:00,251.91,travel,web,CA,35,32,0,1
21,2024-01-01 21:00:00,99.68,electronics,pos,US,57,116,0,0
22,2024-01-01 22:00:00,126.08,travel,mobile,US,53,179,0,0
23,2024-01-01 23:00:00,8.23,restaurant,web,US,45,197,1,0
24,2024-01-02 00:00:00,71.01,fuel,pos,CA,81,214,1,0
25,2024-01-02 01:00:00,129.98,grocery,pos,CA,75,92,1,1
26,2024-01-02 02:00:00,16.41,grocery,atm,CA,55,32,1,0
27,2024-01-02 03:00:00,153.81,grocery,mobile,CA,61,93,1,0
28,2024-01-02 04:00:00,65.94,fuel,mobile,CA,19,232,1,0
29,2024-01-02 05:00:00,93.75,travel,pos,FR,52,131,1,0
30,2024-01-02 06:00:00,65.85,electronics,mobile,CA,18,62,0,0
31,2024-01-02 07:00:00,286.71,ecommerce,web,CA,63,223,0,0
32,2024-01-02 08:00:00,118.79,travel,mobile,CA,77,13,0,0
33,2024-01-02 09:00:00,24.81,fuel,atm,US,80,70,0,0
34,2024-01-02 10:00:00,194.03,restaurant,pos,CA,62,21,0,0
35,2024-01-02 11:00:00,10.12,fuel,web,CA,74,189,0,0
36,2024-01-02 12:00:00,138.8,grocery,pos,MX,54,14,0,0
37,2024-01-02 13:00:00,56.37,travel,web,CA,24,89,0,0
38,2024-01-02 14:00:00,0.46,grocery,pos,CA,33,71,0,0
39,2024-01-02 15:00:00,137.72,ecommerce,mobile,MX,67,107,0,0
40,2024-01-02 16:00:00,186.46,restaurant,pos,GB,31,150,0,0
41,2024-01-02 17:00:00,135.42,grocery,web,CA,23,128,0,0
42,2024-01-02 18:00:00,109.59,ecommerce,mobile,CA,78,32,0,0
43,2024-01-02 19:00:00,92.9,fuel,atm,CA,38,169,0,0
44,2024-01-02 20:00:00,13.07,grocery,web,CA,27,32,0,0
45,2024-01-02 21:00:00,55.21,grocery,web,CA,49,170,0,0
46,2024-01-02 22:00:00,78.54,electronics,pos,IN,23,180,0,0
47,2024-01-02 23:00:00,215.14,restaurant,pos,CA,19,222,1,1
48,2024-01-03 00:00:00,150.93,restaurant,web,CA,56,81,1,0
49,2024-01-03 01:00:00,38.67,fuel,pos,CA,66,232,1,1
50,2024-01-03 02:00:00,149.17,electronics,pos,CA,44,182,1,0
51,2024-01-03 03:00:00,85.34,ecommerce,pos,CA,73,102,1,0
52,2024-01-03 04:00:00,59.08,ecommerce,web,CA,31,190,1,0
53,2024-01-03 05:00:00,175.05,fuel,web,US,40,85,1,0
54,2024-01-03 06:00:00,212.79,restaurant,pos,CA,68,218,0,0
55,2024-01-03 07:00:00,203.82,ecommerce,pos,CA,42,43,0,0
56,2024-01-03 08:00:00,44.47,fuel,web,CA,70,131,0,0
57,2024-01-03 09:00:00,92.17,ecommerce,mobile,CA,28,166,0,0
58,2024-01-03 10:00:00,149.81,travel,web,CA,52,209,0,0
59,2024-01-03 11:00:00,207.8,grocery,mobile,MX,72,167,0,0
60,2024-01-03 12:00:00,76.87,restaurant,pos,FR,75,198,0,0
61,2024-01-03 13:00:00,103.29,travel,pos,CA,54,213,0,1
62,2024-01-03 14:00:00,20.43,fuel,pos,US,26,45,0,0
63,2024-01-03 15:00:00,12.34,fuel,web,CA,45,46,0,0
64,2024-01-03 16:00:00,193.13,travel,mobile,CA,72,115,0,0
65,2024-01-03 17:00:00,242.06,grocery,pos,CA,63,104,0,0
66,2024-01-03 18:00:00,113.52,grocery,web,CA,44,13,0,0
67,2024-01-03 19:00:00,210.32,electronics,web,CA,27,52,0,0
68,2024-01-03 20:00:00,152.55,ecommerce,atm,CA,40,9,0,0
69,2024-01-03 21:00:00,61.94,electronics,mobile,CA,38,185,0,0
70,2024-01-03 22:00:00,152.53,grocery,mobile,CA,62,69,0,0
71,2024-01-03 23:00:00,258.42,travel,web,CA,20,43,1,0
72,2024-01-04 00:00:00,116.78,ecommerce,atm,CA,76,7,1,0
73,2024-01-04 01:00:00,260.82,travel,atm,CA,60,230,1,0
74,2024-01-04 02:00:00,115.78,electronics,web,CA,24,44,1,0
75,2024-01-04 03:00:00,193.97,fuel,web,CA,44,172,1,0
76,2024-01-04 04:00:00,127.83,travel,web,CA,79,102,1,0
77,2024-01-04 05:00:00,93.09,electronics,web,GB,59,223,1,0
78,2024-01-04 06:00:00,128.26,electronics,web,CA,21,68,0,0
79,2024-01-04 07:00:00,58.88,electronics,pos,MX,79,122,0,0
80,2024-01-04 08:00:00,100.23,fuel,mobile,CA,25,77,0,0
81,2024-01-04 09:00:00,152.14,fuel,web,FR,34,44,0,0
82,2024-01-04 10:00:00,253.01,fuel,mobile,CA,22,207,0,0
83,2024-01-04 11:00:00,73.36,ecommerce,web,CA,80,40,0,0
84,2024-01-04 12:00:00,47.24,fuel,mobile,CA,26,205,0,0
85,2024-01-04 13:00:00,74.84,fuel,pos,CA,25,171,0,0
86,2024-01-04 14:00:00,202.39,fuel,web,CA,24,235,0,0
87,2024-01-04 15:00:00,149.59,travel,web,CA,54,62,0,0
88,2024-01-04 16:00:00,72.32,fuel,pos,CA,72,171,0,0
89,2024-01-04 17:00:00,166.19,ecommerce,mobile,CA,84,218,0,0
90,2024-01-04 18:00:00,128.74,electronics,pos,FR,25,147,0,0
91,2024-01-04 19:00:00,207.18,travel,web,FR,22,49,0,0
92,2024-01-04 20:00:00,56.82,grocery,pos,CA,34,193,0,0
93,2024-01-04 21:00:00,90.51,fuel,mobile,CA,75,77,0,0
94,2024-01-04 22:00:00,84.71,electronics,pos,CA,80,153,0,0
95,2024-01-04 23:00:00,11.72,electronics,web,US,44,212,1,0
96,2024-01-05 00:00:00,146.65,travel,pos,US,45,41,1,0
97,2024-01-05 01:00:00,143.49,grocery,web,FR,75,23,1,0
98,2024-01-05 02:00:00,120.46,restaurant,mobile,CA,67,186,1,0
99,2024-01-05 03:00:00,98.89,ecommerce,pos,MX,84,216,1,0
100,2024-01-05 04:00:00,7.38,restaurant,mobile,US,48,43,1,0
101,2024-01-05 05:00:00,82.14,electronics,pos,CA,29,105,1,0
102,2024-01-05 06:00:00,89.16,restaurant,web,US,72,113,0,0
103,2024-01-05 07:00:00,47.8,electronics,web,CA,21,231,0,0
104,2024-01-05 08:00:00,105.48,restaurant,web,CA,59,168,0,0
105,2024-01-05 09:00:00,156.36,electronics,web,FR,71,158,0,0
106,2024-01-05 10:00:00,289.76,electronics,web,CA,39,162,0,0
107,2024-01-05 11:00:00,135.71,travel,pos,CA,18,110,0,0
108,2024-01-05 12:00:00,143.18,grocery,web,CA,65,138,0,0
109,2024-01-05 13:00:00,113.3,electronics,pos,US,60,105,0,0
110,2024-01-05 14:00:00,52.69,ecommerce,mobile,CA,37,60,0,0
111,2024-01-05 15:00:00,117.61,ecommerce,mobile,GB,35,129,0,0
112,2024-01-05 16:00:00,125.42,fuel,pos,CA,66,140,0,0
113,2024-01-05 17:00:00,341.69,electronics,pos,CA,34,174,0,0
114,2024-01-05 18:00:00,102.69,electronics,pos,CA,70,93,0,0
115,2024-01-05 19:00:00,147.14,electronics,atm,US,39,75,0,0
116,2024-01-05 20:00:00,116.88,restaurant,mobile,CA,27,233,0,0
117,2024-01-05 21:00:00,14.82,electronics,pos,CA,41,145,0,0
118,2024-01-05 22:00:00,222.85,electronics,web,CA,29,212,0,0
119,2024-01-05 23:00:00,187.67,ecommerce,pos,GB,21,58,1,0
120,2024-01-06 00:00:00,191.19,grocery,web,CA,59,38,1,0
121,2024-01-06 01:00:00,38.16,grocery,mobile,GB,22,6,1,0
122,2024-01-06 02:00:00,246.25,fuel,web,CA,43,190,1,0
123,2024-01-06 03:00:00,6.17,ecommerce,mobile,CA,76,212,1,0
124,2024-01-06 04:00:00,172.82,electronics,web,CA,79,202,1,0
125,2024-01-06 05:00:00,317.14,grocery,pos,GB,22,138,1,0
126,2024-01-06 06:00:00,30.85,travel,web,US,43,223,0,0
127,2024-01-06 07:00:00,69.03,travel,web,CA,23,26,0,0
128,2024-01-06 08:00:00,128.97,travel,mobile,FR,41,58,0,1
129,2024-01-06 09:00:00,74.69,electronics,pos,CA,70,17,0,0
130,2024-01-06 10:00:00,19.56,electronics,web,CA,24,53,0,0
131,2024-01-06 11:00:00,126.17,fuel,mobile,CA,27,206,0,1
132,2024-01-06 12:00:00,24.39,fuel,web,CA,56,5,0,0
133,2024-01-06 13:00:00,162.62,fuel,pos,CA,45,67,0,0
134,2024-01-06 14:00:00,37.25,restaurant,atm,CA,59,107,0,0
135,2024-01-06 15:00:00,259.49,travel,pos,CA,79,148,0,0
136,2024-01-06 16:00:00,49.51,electronics,pos,CA,69,179,0,0
137,2024-01-06 17:00:00,91.01,travel,mobile,CA,39,174,0,0
138,2024-01-06 18:00:00,193.22,fuel,pos,CA,74,207,0,0
139,2024-01-06 19:00:00,9.22,electronics,pos,CA,28,67,0,0
